Month,Year,Region,Mean Temp (F),Mean Max Temp (F),Mean Min Temp (F)
May,2014,West,74.2,88.3,60.2
June,2014,West,80.9,96.4,65.5
July,2014,West,86.9,101.2,72.6
August,2014,West,84.4,98.6,70.1
September,2014,West,80.7,94.6,66.9
October,2014,West,72,85.7,58.3
November,2014,West,57.7,67.9,47.5
December,2014,West,51.9,59.4,44.4
January,2015,West,49,57.5,40.5
February,2015,West,57,67.6,46.3
March,2015,West,64,77.7,50.3
April,2015,West,64.3,77.6,51
May,2015,West,68.5,81.5,55.5
June,2015,West,81.9,96.8,67.1
July,2015,West,83.1,96.8,69.3
August,2015,West,82.4,97.1,67.7
September,2015,West,78.7,92.4,65
October,2015,West,71.3,83.1,59.4
November,2015,West,52,62.5,41.5
December,2015,West,45.8,54.8,36.8
January,2016,West,50,57.7,42.3
February,2016,West,55.5,67.7,43.4
March,2016,West,58.7,69.2,48.2
April,2016,West,65.3,77.6,52.9
May,2016,West,71.3,84.5,58.2
June,2016,West,80.9,96.5,65.3
July,2016,West,84,100,68
August,2016,West,82.5,98.3,66.7
September,2016,West,76.1,91.3,60.9
October,2016,West,66.4,78.7,54.1
November,2016,West,57.5,68.8,46.3
December,2016,West,47.2,55.8,38.5
January,2017,West,48.1,55.6,40.5
February,2017,West,53.9,61.7,46.1
March,2017,West,58.7,70.3,47.2
April,2017,West,62.1,73.8,50.3
May,2017,West,71,84,57.9
June,2017,West,80.5,95.1,65.9
July,2017,West,86.5,101.9,71.1
August,2017,West,85.2,99.5,70.9
September,2017,West,77.2,90.1,64.2
October,2017,West,65.7,79.9,51.4
November,2017,West,58,68.3,47.6
December,2017,West,48,60.5,35.5
